País,Liga,Temporada,Data,Horário UK,Horário BR,Casa,Visitante,Gol Casa,Gol Fora,Árbitro,Falta Casa,Falta Fora,Cartão Amarelo Casa,Cartão Amarelo Fora,Cartão Vermelho Casa,Cartão Vermelho Fora,Min Vermelho Casa,Min Vermelho Fora,Teve Vermelho,Placar Pré 1º Vermelho,Placar Pós Ultimo Vermelho,Média odd Casa,Média odd Empate,Média odd Fora
Brazil,Serie A,2024,30/06/2024,22:30,18:30,Flamengo RJ,Cruzeiro,2,1,Braulio Da Silva Machado,5,17,1,3,0,0,-,-,Não,-,-,1.64,3.89,5.28
Brazil,Serie A,2024,30/06/2024,22:30,18:30,Vitoria,Athletico-PR,0,1,Bruno Arleu de Araujo,12,16,3,2,0,0,-,-,Não,-,-,2.29,3.16,3.25
Brazil,Serie A,2024,02/07/2024,00:00,20:00,Palmeiras,Corinthians,2,0,Anderson Daronco,18,10,3,4,1,0,63',-,Sim,2x0,2x0,1.58,04.02,5.59
Brazil,Serie A,2024,03/07/2024,23:00,19:00,Cuiaba,Botafogo RJ,1,2,Paulo Cesar Zanovelli da Silva,8,15,4,1,0,0,-,-,Não,-,-,2.54,2.99,03.03
Brazil,Serie A,2024,04/07/2024,00:00,20:00,Criciuma,Cruzeiro,1,0,Joao Vitor Gobi,11,7,4,2,1,0,90'+2,-,Sim,1x0,1x0,2.47,2.98,3.11
Brazil,Serie A,2024,04/07/2024,00:00,20:00,Vasco,Fortaleza,2,0,Matheus Delgado Candançan,21,12,4,3,0,1,-,39',Sim,0x0,2x0,2.27,3.19,3.25
Brazil,Serie A,2024,04/07/2024,01:30,21:30,Athletico-PR,Sao Paulo,1,2,Alex Gomes Stefano,19,8,1,3,1,0,76',-,Sim,1x2,1x2,2.32,3.1,3.26
Brazil,Serie A,2024,04/07/2024,01:30,21:30,Atletico-MG,Flamengo RJ,2,4,Ramon Abatti Abel,12,11,4,2,1,0,63',-,Sim,1x3,2x4,2.74,03.08,2.69
Brazil,Serie A,2024,04/07/2024,01:30,21:30,Bragantino,Atletico GO,3,1,Davi de Oliveira Lacerda,15,9,2,3,0,0,-,-,Não,-,-,1.82,3.42,4.52
Brazil,Serie A,2024,04/07/2024,23:00,19:00,Bahia,Juventude,2,0,Wagner do Nascimento Magalhaes,15,9,0,4,0,0,-,-,Não,-,-,1.51,4.22,6.18
Brazil,Serie A,2024,04/07/2024,23:00,19:00,Gremio,Palmeiras,2,2,Marcelo de Lima Henrique,9,13,2,3,0,0,-,-,Não,-,-,3.1,3.2,2.35
Brazil,Serie A,2024,05/07/2024,00:00,20:00,Corinthians,Vitoria,3,2,Gustavo Ervino Bauermann,15,10,4,3,0,0,-,-,Não,-,-,1.83,3.3,4.74
